sender,recipient,message,timestamp
"Svyat","Georg","Ладно","2024-12-04 22:43:14"
"Georg","Svyat","Всм","2024-12-04 22:43:19"
"Georg","Svyat","Причем тут кавычки","2024-12-04 22:43:28"
"Georg","Svyat","Дошли","2024-12-04 22:43:36"
"Georg","Svyat","3 шт кавычек","2024-12-04 22:43:44"
"Svyat","Georg","До тебя кавычки "" Дошли? Кавычки это как строка в сервере","2024-12-04 22:43:58"
"Svyat","Georg","Вот я и думал, что он сообщение до кавычки обрежет","2024-12-04 22:44:11"
"Svyat","Georg","Ну вот и хорошо","2024-12-04 22:44:19"
"Georg","Svyat","Вроде все норм "" если это часть есть ответь","2024-12-04 22:45:11"
"Svyat","Georg","94 сообщения. Да всë хорошо, эта часть есть!","2024-12-04 22:45:28"
"Svyat","Georg","96 сообщений, учитывая это 97","2024-12-04 22:45:47"
"Svyat","Georg","Напиши ещë 2 и будет 100","2024-12-04 22:46:10"
"Svyat","Georg","Всë","2024-12-04 22:46:21"
"Svyat","Georg","100","2024-12-04 22:46:32"
"Georg","Svyat","Теперь не сто)","2024-12-04 22:46:53"
"Svyat","Georg","100 сообщений 9КБ весят","2024-12-04 22:47:02"
"Svyat","Georg","Пролистай всю свою ленту сообщений до верха.","2024-12-04 22:47:33"
"Georg","Svyat","Я уже листал","2024-12-04 22:47:55"
"Georg","Svyat","Один раз когда листал оно почему-то вниз меня тепнуло","2024-12-04 22:48:16"
"Georg","Svyat","Неважно","2024-12-04 22:48:21"
"Svyat","Georg","Максим с Мариной спят чтоли? 2 часа уже не отвечают","2024-12-04 22:48:24"
"Georg","Svyat","Может быть","2024-12-04 22:48:36"
"Svyat","Georg","Составляй список, что сюда надо добавить.","2024-12-04 22:49:08"
"Svyat","Georg","Ау.","2024-12-04 22:49:30"
"Svyat","Georg","Куда пропал?","2024-12-04 22:49:36"
"Svyat","Georg","Винтовка у тебя, ну ладно.","2024-12-04 22:49:48"
"Svyat","Georg","Ауууу","2024-12-04 22:49:54"
"Svyat","Georg","Ответь!","2024-12-04 22:49:58"
"Svyat","Georg","Надо срочно уведомления делать, а то плохо","2024-12-04 22:50:08"
"Georg","Svyat","Ок, сейчас начну","2024-12-04 22:50:11"
"Svyat","Georg","Очень плохо","2024-12-04 22:50:13"
"Georg","Svyat","Реально","2024-12-04 22:50:18"
"Svyat","Georg","О, увидел","2024-12-04 22:50:19"
"Georg","Svyat","Ещё надо видеть свои сообщения","2024-12-04 22:50:35"
"Georg","Svyat","И кому отпрвил","2024-12-04 22:50:44"
"Georg","Svyat","А еще","2024-12-04 22:50:49"
"Georg","Svyat","Чтобы можно было выбрать цвет своего ника","2024-12-04 22:51:10"
"Georg","Svyat","И быстро отличать друг друга","2024-12-04 22:51:28"
"Georg","Svyat","Что ты увидел?","2024-12-04 22:51:34"
"Svyat","Georg","Ещë, надо видеть список всех аккаунтов, добавить там описание и теперь это соц сеть)","2024-12-04 22:51:41"
"Georg","Svyat","🥆","2024-12-04 22:51:48"
"Svyat","Georg","Короче идей тут дофига","2024-12-04 22:51:52"
"Svyat","Georg","Я вижу прямоугольник с крестом","2024-12-04 22:52:08"
"Svyat","Georg","Ты к физ диктанту готов? Я нет","2024-12-04 22:52:29"
"Svyat","Georg","Через минуту я пойду в Ванну, а потом спать.","2024-12-04 22:52:53"
"Georg","Svyat","Никто не готов к фд","2024-12-04 22:54:12"
"Svyat","Georg","Из чата в соц сеть, это уже лучше тг и тем более ватсапа. Ещë группы надо. Ещë из списка людей друзей выбирать и тд","2024-12-04 22:54:25"
"Georg","Svyat","Кроме Питерского","2024-12-04 22:54:26"
"Georg","Svyat","Давай записывай идеи","2024-12-04 22:54:51"
"Svyat","Georg","Это прям как отдельный сайт, а не кнопочка, типо шифра и Безу","2024-12-04 22:54:52"
"Georg","Svyat","Можно и отдельный","2024-12-04 22:55:11"
"Svyat","Georg","Сам записывай, я пошёл. Напиши Максиму. Чтобы проснулся.","2024-12-04 22:55:21"
"Svyat","Georg","Пока.","2024-12-04 22:55:28"
"Georg","Svyat","А давно у сообщений дата справа снизу?","2024-12-04 22:55:36"
"Georg","Svyat","Спокойной ночи","2024-12-04 22:56:02"
"Svyat","Georg","Дата с самого начала, ещë когда текст был длинным","2024-12-04 22:56:11"
